Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,41,2,12.9,2.2,3.9,.570,0.0,0.0,0,2.2,3.9,.570,.570,1.1,2.1,.506,1.2,2.4,3.7,0.5,0.4,0.5,0.8,1.5,5.5
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,39,39,27.8,3.4,5.5,.620,0.0,0.1,.000,3.4,5.5,.626,.620,1.1,2.4,.462,4.1,5.1,9.2,2.1,0.9,0.6,1.6,2.0,8.0
Bam Adebayo,C,23,MIA,37,37,33.7,7.2,12.9,.559,0.1,0.2,.286,7.1,12.7,.563,.561,4.8,5.7,.844,2.3,7.2,9.5,5.4,0.9,1.1,2.9,2.4,19.2
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,34,4,18.3,3.4,8.1,.415,1.3,3.9,.323,2.1,4.2,.500,.493,0.9,1.1,.821,0.2,2.4,2.6,1.9,1.0,0.4,1.2,1.6,8.9
Grayson Allen,SG,25,MEM,28,16,24.6,3.0,7.5,.407,2.0,4.9,.401,1.1,2.6,.417,.538,1.5,1.7,.894,0.4,2.8,3.1,2.1,1.0,0.2,1.0,1.3,9.5
Jarrett Allen,C,22,TOT,42,24,28.4,4.7,7.3,.636,0.1,0.2,.400,4.6,7.1,.644,.643,3.5,4.9,.714,3.0,6.9,9.9,1.6,0.4,1.7,1.5,1.6,12.9
Al-Farouq Aminu,PF,30,ORL,15,12,20.7,1.7,4.7,.357,0.5,1.9,.250,1.2,2.8,.429,.407,0.9,1.1,.813,1.1,3.7,4.7,1.5,1.0,0.5,1.3,1.4,4.7
Kyle Anderson,PF,27,MEM,38,38,27.3,4.7,9.9,.476,1.4,3.8,.363,3.3,6.1,.548,.547,2.0,2.6,.765,0.8,5.0,5.8,3.4,1.2,0.7,1.4,1.7,12.8
Giannis Antetokounmpo,PF,26,MIL,40,40,34.2,10.6,18.8,.562,1.2,3.9,.299,9.4,14.9,.630,.593,6.8,10.0,.679,1.8,9.9,11.7,6.4,1.2,1.3,3.7,3.0,29.0
Kostas Antetokounmpo,PF,23,LAL,4,0,5.3,0.3,0.8,.333,0.0,0.0,0,0.3,0.8,.333,.333,0.5,1.0,.500,0.5,1.8,2.3,0.0,0.3,0.5,1.3,0.8,1.0
